2853.005540,2857.743932,2860.719022,2862.567584,2868.105570,2875.296502,2880.757354,2881.985910
2853.244756,2857.533147,2861.242664,2862.620071,2868.101166,2875.550991,2880.683701,2882.012762
2853.921121,2857.953077,2861.626931,2863.339696,2869.414415,2875.074993,2882.098679,2882.742153
2853.325052,2857.571610,2860.721651,2862.998805,2868.100464,2875.772238,2881.239835,2882.018750
2853.001416,2858.513205,2860.391840,2863.692371,2870.624559,2875.852749,2882.054212,2883.860568
2853.231055,2857.657575,2861.814754,2863.287190,2868.100024,2875.713764,2881.650968,2882.000901
2853.002450,2857.269685,2861.319001,2863.345216,2870.143743,2875.069926,2882.065981,2884.715067
2853.533769,2857.612092,2861.473426,2863.314825,2868.102536,2875.741827,2880.107999,2881.981551
2853.410256,2857.476198,2861.507487,2862.831022,2868.101795,2875.262894,2881.490268,2881.987936
2853.314186,2858.338362,2862.778793,2864.227102,2870.640601,2875.860839,2881.248835,2882.189044
2855.194947,2859.475847,2861.715533,2864.127249,2868.356535,2873.814548,2875.827267,2882.089162
2853.563294,2857.848782,2861.992490,2863.889753,2868.100014,2875.250824,2879.914600,2881.838726
2853.037451,2857.455651,2861.419822,2863.920416,2868.100005,2875.940510,2876.343743,2881.859040
2858.056066,2861.668401,2863.752087,2872.994207,2877.474181,2880.027094,2882.528845,2888.844021
2858.186417,2861.533338,2863.947669,2872.991045,2877.507549,2879.908233,2882.335759,2888.550554
2857.853110,2863.451886,2863.812147,2872.999232,2877.968436,2879.796422,2882.923039,2889.282104
2857.749174,2863.937332,2864.308918,2872.998791,2878.157547,2879.976353,2882.957699,2889.099724
2857.899497,2863.520820,2868.183549,2872.995631,2879.608386,2880.114112,2884.060291,2890.408603
2857.873888,2863.580714,2864.071362,2872.996261,2878.266661,2879.789260,2882.909566,2889.288521
2857.773763,2863.800999,2864.738572,2872.998759,2878.298712,2879.742173,2883.100981,2889.448531
2857.897601,2863.758114,2864.039156,2872.997144,2878.253711,2879.919834,2882.985861,2889.333277
2858.226912,2862.290885,2862.519865,2872.988496,2877.523132,2879.800713,2882.411374,2888.559049
2857.798623,2862.379558,2867.159913,2872.998515,2878.537261,2880.025071,2883.303983,2889.418749
2858.473171,2859.084811,2862.406635,2872.997247,2877.112527,2879.624595,2882.260586,2888.586482
2857.987874,2862.367811,2864.340897,2872.992954,2877.837610,2879.962101,2882.603936,2888.808039
2858.116405,2862.922579,2868.103375,2872.992553,2879.909264,2880.264896,2884.091676,2890.453754
2857.949093,2863.683746,2864.266659,2872.992063,2877.986072,2879.417919,2882.635701,2888.860437
2858.965327,2865.279617,2868.766736,2872.957807,2877.049135,2880.781959,2881.367690,2888.867398
2858.876273,2865.626804,2868.278944,2872.995687,2876.664629,2880.316707,2880.483970,2889.021506
2858.993614,2864.985147,2869.262628,2871.038425,2877.756725,2879.359075,2881.192230,2888.773866
2858.403894,2865.521586,2868.955397,2872.999979,2875.012894,2878.648665,2880.544069,2884.243832
2858.955297,2865.087446,2869.208245,2871.872997,2876.140055,2879.933598,2880.547443,2888.497612
2859.338661,2861.938862,2866.374385,2871.245693,2877.359823,2878.622284,2880.908235,2888.137418
2858.988957,2865.356372,2869.593593,2871.095648,2877.112124,2880.636353,2881.144247,2888.768239
2859.308125,2861.695441,2867.066174,2869.760854,2877.262963,2878.916042,2880.874233,2888.143090
2858.593617,2870.908518,2870.951375,2872.450513,2874.634822,2880.631546,2881.098145,2890.455138
2859.003632,2865.626093,2869.920247,2871.090011,2875.793886,2879.489198,2881.484850,2888.629932
2858.972404,2862.343796,2865.583447,2871.385877,2878.021164,2880.185157,2881.339359,2888.900824
2858.613433,2862.622426,2870.173794,2872.985486,2876.836013,2880.901597,2882.536083,2890.491458
2858.841250,2864.453071,2868.980366,2869.544876,2878.988088,2879.423353,2881.013684,2889.015441
2858.968728,2864.585421,2869.046373,2870.334585,2879.002462,2879.142543,2881.070709,2888.544478
2859.370593,2861.463395,2865.119230,2869.548179,2879.403081,2879.995744,2880.470649,2888.256903
2858.800559,2862.303525,2871.380405,2871.809835,2877.266541,2879.343262,2881.276365,2888.032888
2858.558684,2862.976139,2870.213545,2872.510560,2877.619309,2880.365635,2883.343131,2890.498716
2858.976028,2864.509592,2869.414583,2870.229229,2878.657961,2879.450399,2880.951523,2889.001681
2858.795202,2864.953233,2869.489794,2870.199621,2877.394314,2880.887099,2881.187893,2889.261521
2858.777237,2865.171761,2867.929309,2869.840223,2877.707497,2880.662526,2881.028253,2888.833476
2858.916517,2865.055931,2869.401695,2869.684670,2877.634653,2880.440826,2881.063604,2888.641786
2858.817116,2865.057726,2869.397892,2869.814983,2877.049305,2880.873269,2880.964474,2890.039745
2858.886906,2864.647226,2869.847025,2870.096012,2875.698584,2879.583412,2881.198077,2889.439770
2858.908124,2864.549677,2869.582791,2869.689039,2876.424967,2880.252991,2881.147404,2889.410471
2858.886559,2865.318632,2868.977986,2869.892133,2876.828238,2880.413895,2881.171998,2888.804949
2858.864351,2865.542027,2868.375157,2870.076833,2876.499747,2880.260975,2881.247507,2889.254751
2858.815843,2863.715718,2867.725448,2870.077909,2876.018969,2880.374445,2881.178090,2890.486701
2858.847152,2864.933619,2869.111874,2870.384549,2878.598750,2879.709000,2880.905852,2889.533337
2858.905124,2864.783065,2869.112232,2869.780755,2878.825401,2879.693822,2881.026169,2889.196422
2859.131467,2864.273501,2865.152041,2869.080938,2879.298210,2879.749241,2879.983981,2888.287498
2858.863119,2864.831179,2869.129064,2869.768024,2878.649942,2880.004009,2881.105039,2889.022160
2858.840798,2864.814135,2868.997135,2869.985774,2879.027846,2880.394493,2881.086671,2888.646626
2858.894656,2864.515928,2868.302771,2870.673567,2878.232993,2878.807579,2881.093124,2889.080228
2858.887259,2864.322931,2868.352504,2869.950953,2878.429848,2878.668231,2881.158777,2889.263587
2858.853099,2865.065594,2869.068890,2872.457677,2876.553141,2880.359419,2881.263392,2889.490530
2858.863498,2863.347105,2867.101166,2869.925943,2878.524431,2878.608225,2881.235230,2889.165040
2858.820248,2864.453549,2868.853010,2869.374795,2879.280247,2880.138712,2881.123462,2888.838214
2858.807092,2864.652851,2870.435975,2870.726576,2875.797524,2880.356116,2881.156096,2890.044411
2858.809621,2864.471417,2868.364620,2869.097196,2879.022678,2879.426335,2881.041403,2889.359738
2858.929907,2864.449943,2869.114193,2871.179644,2878.385115,2878.447398,2881.061032,2889.771034
2859.349128,2862.284345,2865.625649,2869.536049,2878.228820,2880.384270,2880.819505,2887.936734
2857.942265,2865.011127,2865.500818,2872.999963,2878.769369,2880.232088,2883.129362,2890.275785
2858.773134,2866.818600,2871.669983,2872.990611,2877.180762,2877.183684,2882.258918,2888.247306
2858.782928,2868.638077,2868.889302,2872.944600,2877.190037,2879.189791,2881.796523,2888.043217
2857.802200,2866.831376,2868.925699,2869.547277,2879.352708,2879.653746,2879.688440,2885.760159
2858.739443,2865.058952,2866.932062,2868.370518,2875.960341,2879.944475,2880.385016,2886.945760
2858.937761,2863.675666,2867.464069,2868.255922,2877.104406,2879.566827,2880.939061,2887.746794
2858.895799,2864.703523,2869.243377,2870.093963,2879.042811,2879.063550,2881.092808,2888.940172
2857.072692,2868.315139,2869.441224,2870.012031,2878.747256,2879.860695,2881.885203,2888.074025
2857.201700,2868.575787,2869.062767,2870.045116,2878.115761,2880.324954,2881.548178,2888.248218
2858.391029,2867.924490,2869.284546,2872.977015,2875.785589,2881.228921,2881.356361,2890.499586
2857.272904,2863.956971,2868.445971,2869.446959,2878.747303,2878.915596,2882.566764,2889.391975
2858.650392,2860.642729,2867.082302,2869.501068,2878.915893,2879.299317,2881.332733,2888.836731
2858.691670,2866.290820,2869.481203,2869.588118,2878.691377,2880.555944,2881.073859,2889.201523
2859.005033,2862.958898,2869.720030,2872.363327,2874.428590,2880.789703,2881.201480,2889.741675
2858.801550,2865.350313,2868.333306,2871.285367,2880.013560,2880.089903,2880.384836,2888.701637
2859.003198,2864.212446,2871.086886,2871.104058,2875.374488,2879.167493,2881.219208,2888.018993
2858.522910,2865.966076,2869.647050,2869.916268,2875.877925,2879.349792,2879.653753,2886.646843
2858.843126,2865.393972,2868.223216,2871.339842,2877.768629,2880.646778,2880.978050,2889.685966
2858.797370,2865.363712,2868.791963,2869.982251,2879.031358,2879.737607,2880.993588,2889.119772
2858.902959,2865.163474,2868.992284,2871.214259,2876.939502,2879.324855,2881.112707,2888.371482
2858.896033,2865.330870,2868.612531,2870.482292,2878.842597,2879.958906,2880.816392,2887.334761
2859.029220,2866.786719,2867.977854,2871.126733,2879.353777,2879.945128,2880.112397,2890.407339
2858.382345,2864.529879,2869.492663,2870.587347,2875.654536,2878.994548,2880.489502,2885.015156
2858.753726,2864.612459,2865.837167,2869.488232,2878.655619,2880.237380,2881.227819,2888.914211
2858.800325,2865.395537,2868.349291,2870.105763,2877.746564,2880.414600,2881.150856,2888.864934
2858.788188,2865.432963,2868.058059,2870.481880,2877.781370,2881.038771,2881.290381,2888.575105
2858.798582,2865.534304,2868.455218,2869.509428,2878.460853,2880.441601,2881.098624,2888.128050
2859.115844,2863.173918,2866.538903,2872.447798,2875.623672,2880.571433,2881.220545,2887.618290
2859.020931,2862.225731,2866.742506,2872.997020,2876.089087,2880.262704,2881.561141,2888.055367
